Субъект;Последний год;Источник поступления данных в ЦЗЛ;Год первого поступления данных;Организация, проводившая обследования;Реестр ЛЗМ;Источник информации: 1-ИИ, 2-ИИ…5-ИИ;Приоритет проведения ЛЗМ;Способ проведения  государственного лесопатологического мониторинга:                                             1-ГЛПМ... 7-ГЛПМ;Оптимальные сроки проведения ЛЗМ;№ акта ЛПО;Внесение изменений;месяц для вновь выявленных или переоформленных;Дата внесения в реестр; Примечание к выделу (местоположение) ;Дата последнего изменеия в реестре;Год проведения лесоустройства;Дата обследования;широта;долгота;Лесничество;Участковое лесничество;Участок, урочище и т.п.;Квартал;Выдел;№ лесопатологического выдела;Площадь выдела, га;Целевое назначение лесов (код);Целевое назначение лесов по таксационным описаниям;Категория защитности;ОЗУ;ООПТ;Группа категория защитности;Состав;группа возраста;Возраст;Бонитет;Полнота;Запас на 1га, кбм;Транспортная доступность;Лесопользователь;Вид аренды ;Дата заключения договора;Срок аренды;год обследования;площадь обследования,га;№ разрешительного письма;площадь по ДЗЗ и ЛС,га;Вид СОМ 2015-2019;площадь СОМ 2015-2019, га;"Категория по форме ""Рослесхоз""";Главная порода;Повреждаемая порода;Код группы причин;Причина ослабления или гибели древостоя (1-ОЛПМ);Код повреждения по 1-ОЛПМ;Код второстепенной причины повреждения по 1-ОЛПМ;Год повреждения;Код защитности для приложения 2, 3;Прогноз;Повреждаемая порода по очагам 2-ОЛПМ;Код группы причины по 2-ОЛПМ;Виды вредителей и болезней (2-ОЛПМ);Код повреждения по 2-ОЛПМ;Фаза развития очага;Номер очага;общий отпад;степень усыхания;в т.ч. текущий;поврежденные (заселенные);Степень повреждения (заселения);Код признака, главный;% деревьев с наличием признака;Код признака второстепенный;% деревьев с наличием признака;Полнота, остающаяся после выборки деревьев, подлежащих рубке;Обеспечение лесовосстановления;Средневзвешенная категория состояния породы;Средневзвешенная категория состояния насаждения;Вид рекомендации;% деревьев от запаса подлежащий рубке;Погибшие;площадь рекомендации, га;запас рекомендованных,  куб. м;год гибели;Назначенные мероприятия текущего и прошедшего года;Площадь МЗЛ,га;запас МЗЛ, куб. м;Количество выбираемых деревьев (для РАД), шт.;Без признаков ослабления;Без признаков ослабления (Р);Ослабленные;Ослабленные (Р);Сильно ослабленные;Сильно ослабленные (Р);Усыхание;Усыхание (Р);Свежий сухостой;Свежий ветровал;Свежий бурелом;Старый сухостой;Старый ветровал;Старый бурелом;Площадь участка на конец декабря 2020 года;площадь, га (январь);запас, кмб. (январь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец января 2021 года;площадь, га (февраль);запас, кмб. (февраль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец февраля 2021 года;площадь, га (март);запас, кмб. (март);Площадь выдела с наличием ослабления (усыхания) древостоя на конец марта 2021 года;площадь, га (апрель);запас, кмб. (апрель);Площадь выдела с наличием ослабления (усыхания) древостоя на конец апреля 2021 года;площадь, га (май);запас, кмб. (май);Площадь выдела с наличием ослабления (усыхания) древостоя на конец мая 2021 года;площадь, га (июнь);запас, кмб. (июнь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июня 2021 года;площадь,га (июль);запас, кмб. (июль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июля 2021 года;площадь,га (август);запас, кмб. (август);Площадь выдела с наличием ослабления (усыхания) древостоя на конец августа 2021 года;площадь,га (сентябрь);запас, кмб. (сентябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец сентября 2021 года;площадь,га (октябрь);запас, кмб. (октябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец октября 2021 года;площадь, га (ноябрь);запас, кмб. (ноябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец ноября 2021 года;площадь, га (декабрь);запас, кмб. (декабрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец декабря 2021 года;Вид МЗЛ c начала года;Площадь нарастающим итогом, га;Запас МЗЛ с начала года;Способ ЛПО;Ф.И.О. исполнителя работ;занесено Ф.И.О.;Источники данных (для реестра приложение 1.1);Примечание;Способ актуализации
Республика Хакасия;2009;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2009;;;Горячегорское;Полуторнинское;;114;8;1;73;1;защ;145;;;3;7П2К1Б+Е;4;180;4;0,5;190;;Нет;;;;2009;50;;;;;Погодные условия (прочие);Пс;Пс;3;Неблагоприятные условия произрастания;810;;2009;5;без изменений;;;;;;;16;10,1-40%;;;;;;;;0,4;;;;512;16;;50;1520;;;;;;;;;;;;;;;;;;;;50;;;50;;;50;;;50;;;50;;;;;;;;;;;;;;;;;;;;;;;;50;;0;0;1;;;32;;
Республика Хакасия;2009;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2009;;;Горячегорское;Полуторнинское;;115;3;1;39;1;защ;140;;;3;7П2К1Б+Е;4;170;4;0,5;190;;Нет;;;;2009;10,4;;;;;Погодные условия (прочие);Пс;Пс;3;Неблагоприятные условия произрастания;810;;2009;5;без изменений;;;;;;;30;10,1-40%;14;;;;;;;0,4;;;;512;30;;10,4;592,8;;;;;;;;;;;;;;;;;;;;10,4;;;10,4;;;10,4;;;10,4;;;10,4;;;;;;;;;;;;;;;;;;;;;;;;10,4;;0;0;1;;;32;;
Республика Хакасия;2019;ЛПОВ;;лесничество;СОМ;2-ИИ;3;;2019-2021;;;;07.11.2019;;;2019;30.08.2019;;;Горячегорское;Полуторнинское;;121;5;1;28;1;защ;145;;;3;4К5П1Е+Б;3;200;2;0,4;230;;нет;;;;2019;9,3;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2017;5;ухудшение;;;;;;;40;10,1-40%;19,1;;;;;;;0,2;;3,33;2,54;512;40;;9,3;856;;;;;;51,9;;8,1;;0;;14,1;;2,7;2,3;;20,9;;;9,3;;;9,3;;;9,3;;;9,3;;;9,3;;;;;;;;;;;;;;;;;;;;;;;;9,3;;0;0;2;Борисик;Чернышева А.В.;32;;
Республика Хакасия;2011;ЛПОВ;2010;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2011;;;Горячегорское;Юферовское;;39;11;2;126;1;защ;145;;;3;8П2К;4;140;4;0,6;170;;Нет;;;;2011;2,5;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;;2010;5;без изменений;;;;;;;76;более 40%;24;;;;;;;0,0;;;;511;100;Погибшие;2,5;425;2010;;;;;;;;;;;;;;;;;;;2,5;;;2,5;;;2,5;;;2,5;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;2,5;;0;0;1;;;32;погибшие;
Республика Хакасия;2010;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;43;6;;3,5;1;защ;145;;;3;9П1К;4;130;4;0,5;160;;Нет;;;;2010;3,5;;;;;Болезни леса;Пс;Пс;4;Трутовик Гартига;362;;2010;5;без изменений;;;;;;;23,7;10,1-40%;;;;;;;;0,4;;;;370;23,7;;3,5;;;;;;;;;;;;;;;;;;;;;3,5;;;3,5;;;3,5;;;3,5;;;3,5;;;;;;;;;;;;;;;;;;;;;;;;3,5;;0;0;1;;;11;;
Республика Хакасия;2010;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;47;16;;16;1;эксп;145;;;3;5К5П;4;260;3;0,5;270;;Нет;;;;2010;16;;;;;Болезни леса;Кс;Кс;4;Трутовик окаймленный;357;;2010;5;без изменений;;;;;;;15;10,1-40%;;;;;;;;0,4;;;;370;15;;16;;;;;;;;;;;;;;;;;;;;;16;;;16;;;16;;;16;;;16;;;;;;;;;;;;;;;;;;;;;;;;16;;0;0;1;;;11;;
Республика Хакасия;2010;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;48;11;;33;2;эксп;;;;;9Б1П;4;85;3;0,7;170;;Нет;;;;2010;33;;;;;Болезни леса;Бб;Бб;4;Губка березовая;361;;2010;;без изменений;;;;;;;19;10,1-40%;;;;;;;;0,6;;;;370;19;;33;;;;;;;;;;;;;;;;;;;;;33;;;33;;;33;;;33;;;33;;;;;;;;;;;;;;;;;;;;;;;;33;;0;0;1;;;11;;
Республика Хакасия;2010;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;49;1;;9;1;защ;145;;;3;8Б1К1П;4;60;4;0,5;70;;Нет;;;;2010;9;;;;;Болезни леса;Бб;Бб;4;Губка березовая;361;;2010;5;улучшение;;;;;;;14,6;10,1-40%;;;;;;;;0,4;;;;370;14,6;;9;;;;;;;;;;;;;;;;;;;;;9;;;9;;;9;;;9;;;9;;;;;;;;;;;;;;;;;;;;;;;;9;;0;0;1;;;11;;
Республика Хакасия;2019;ЛПОВ;;лесничество;СОМ;2-ИИ;3;;2019-2021;;;;07.11.2019;;;2019;14.09.2019;;;Горячегорское;Юферовское;;49;14;1;6;1;защ;145;;;3;4К6П;3;220;3;0,4;223;;нет;;;;2019;3,1;;;;;Повреждение насекомыми;Кс;Кс;2;Усач еловый чёрный малый;347;;2015;5;ухудшение;;;;;;;45,9;более 40%;4,4;;;;;;;0,2;;4,79;3,30;512;45,9;;3,1;317;;;;;;13,9;;32,3;;7,9;;2;;2,4;;;13,6;;27,9;3,1;;;3,1;;;3,1;;;3,1;;;3,1;;;;;;;;;;;;;;;;;;;;;;;;3,1;;0;0;2;Охримов Е.А.;Чернышева А.В.;32;;
Республика Хакасия;2019;ЛПОВ;;лесничество;СОМ;2-ИИ;3;;2019-2021;;;;07.11.2019;;;2019;15.09.2019;;;Горячегорское;Юферовское;;50;16;1;35;1;защ;145;;;3;4К6П;3;220;3;0,4;216;;нет;;;;2019;8,7;;;;;Повреждение насекомыми;Кс;Кс;2;Усач еловый чёрный малый;347;;2015;5;ухудшение;;;;;;;48,5;более 40%;3,4;;;;;;;0,2;;4,98;3,36;512;48,5;;8,7;911;;;;;;17,1;;25;;9,4;;2,3;;1,1;;;10,6;;34,5;8,7;;;8,7;;;8,7;;;8,7;;;8,7;;;;;;;;;;;;;;;;;;;;;;;;8,7;;0;0;2;Охримов Е.А.;Чернышева А.В.;32;;
Республика Хакасия;2010;ЛПТ;2013;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;53;8;;44;1;защ;145;;;3;8К2П;4;260;4;0,4;160;;Нет;;;;2013;44;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;24;10,1-40%;12;;;;;;;0,3;;2,28;2,28;512;24;;44;1689,6;;;;;;52;;8;;16;;8;;4;0;;12;0;;44;;;44;;;44;;;44;;;44;;;;;;;;;;;;;;;;;;;;;;;;44;;0;0;1;;;11;;
Республика Хакасия;2010;ЛПТ;2013;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;53;19;;14;1;защ;145;;;3;8К2П;4;260;3;0,5;220;;Нет;;;;2013;14;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;40;10,1-40%;16;;;;;;;0,3;;2,88;2,88;512;40;;14;1232;;;;;;36;;8;;16;;12;;4;0;;24;0;;14;;;14;;;14;;;14;;;14;;;;;;;;;;;;;;;;;;;;;;;;14;;0;0;1;;;11;;
Республика Хакасия;2010;ЛПТ;2013;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;53;20;;37;1;защ;145;;;3;7К3П;4;280;3;0,4;180;;Нет;;;;2013;37;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;38;10,1-40%;14;;;;;;;0,3;;3,04;3,04;512;38;;37;2530,8;;;;;;23;;16;;23;;10,5;;3,5;0;;24;0;;37;;;37;;;37;;;37;;;37;;;;;;;;;;;;;;;;;;;;;;;;37;;0;0;1;;;11;;
Республика Хакасия;2019;ЛПОВ;;лесничество;СОМ;2-ИИ;2;;2019-2021;;;;05.08.2019;;;1993;27.05.2019;;;Горячегорское;Юферовское;;56;6;1;10;1;защ;145;;;3;8К2П;3;230;4;0,6;250;;нет;;;;2019;4,4;;;;;Повреждение насекомыми;Кс;Кс;2;Усач еловый чёрный малый;347;531;2015;5;кризис;Кс;30;Усач черный малый;628;кризис;85.30.19.0107;42,8;более 40%;14,5;12;слабая;612;15,3;612;4,3;0,3;;3,84;3,64;512;42,8;;4,4;470,8;;;;;;2,3;;8,3;;46,6;;8,5;;4,6;1,4;0;28,3;0;0;4,4;;;4,4;;;4,4;;;4,4;;;4,4;;;;;;;;;;;;;;;;;;;;;;;;4,4;;0;0;2;Охримов Е.А.;Чернышева А.В.;32;очаг Усач черный малый;
Республика Хакасия;2010;ЛПТ;2013;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;56;10;;29;1;защ;145;;;3;7К3П;4;260;3;0,6;280;;Нет;;;;2013;29;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;43,5;более 40%;7;;;;;;;0,3;;3,18;3,18;512;43,5;;29;3532,2;;;;;;26,5;;12,5;;17,5;;3,5;;3,5;0;;36,5;0;;29;;;29;;;29;;;29;;;29;;;;;;;;;;;;;;;;;;;;;;;;29;;0;0;1;;;11;;
Республика Хакасия;2019;ЛПОВ;;лесничество;СОМ;2-ИИ;2;;2019-2021;;;;07.11.2019;;;2019;22.06.2019;;;Горячегорское;Юферовское;;57;6;1;34;1;защ;145;;;3;5К5П;3;200;4;0,3;160;;нет;;;;2019;9,1;;;;;Повреждение насекомыми;Кс;Кс;2;Усач еловый чёрный малый;347;;2015;5;кризис;Кс;30;Усач черный малый;628;кризис;85.07.31.19.0113;42,4;более 40%;16,9;12;слабая;;;;;0,2;;4,08;3,39;512;42,4;;9,1;617;;;;;;7;;17,9;;32,7;;13,8;;2,6;;0,5;24,9;;0,6;9,1;;;9,1;;;9,1;;;9,1;;;9,1;;;;;;;;;;;;;;;;;;;;;;;;9,1;;0;0;2;Охримов Е.А.;Чернышева А.В.;32;очаг Усач черный малый;
Республика Хакасия;2010;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2010;;;Горячегорское;Юферовское;;62;4;1;66;1;защ;145;;;3;8П2К+Б;4;140;4;0,6;152;;Нет;;;;2010;4;;;;;Болезни леса;Пс;Пс;4;Трутовик окаймленный;357;;2010;5;без изменений;;;;;;;22,4;10,1-40%;6,3;;;;;;;0,5;;;;512;22,4;;4;136,192;;;;;;;;;;;;;;;;;;;;4;;;4;;;4;;;4;;;4;;;;;;;;;;;;;;;;;;;;;;;;4;;0;0;1;;;32;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2013;;;Горячегорское;Юферовское;;63;3;;26;1;защ;145;;;3;7К3П;4;260;4;0,6;240;;Нет;;;;2013;26;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;27,5;10,1-40%;15,5;;;;;;;0,4;;2,65;2,65;512;27,5;;26;1716;;;;;;30;;19,5;;23;;10,5;;5;0;;12;0;;26;;;26;;;26;;;26;;;26;;;;;;;;;;;;;;;;;;;;;;;;26;;0;0;1;;;11;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2013;;;Горячегорское;Юферовское;;63;5;;36;1;защ;145;;;3;6К4П+Б;4;270;4;0,6;230;;Нет;;;;2013;36;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;34;10,1-40%;14;;;;;;;0,4;;2,93;2,93;512;34;;36;2815,2;;;;;;24;;18;;24;;9;;5;0;;20;0;;36;;;36;;;36;;;36;;;36;;;;;;;;;;;;;;;;;;;;;;;;36;;0;0;1;;;11;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2013;;;Горячегорское;Юферовское;;63;6;;151;1;защ;145;;;3;3К7П;4;250;4;0,6;250;;Нет;;;;2013;151;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;22;10,1-40%;12,5;;;;;;;0,5;;2,50;2,50;512;22;;151;8305;;;;;;34;;17;;27;;9,5;;3;0;;9,5;0;;151;;;151;;;151;;;151;;;151;;;;;;;;;;;;;;;;;;;;;;;;151;;0;0;1;;;11;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2013;;;Горячегорское;Юферовское;;63;8;;15;1;защ;145;;;3;10К+П;4;230;4;0,7;270;;Нет;;;;2013;15;;;512;10;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;40;10,1-40%;25;;;;;;;0,4;;3,00;3,00;512;40;;5;540;;;;;;30;;5;;25;;15;;10;0;;15;0;;5;;;5;;;5;;;5;;;5;;;;;;;;;;;;;;;;;;;;;;;;5;;0;0;1;;;11;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2013;;;Горячегорское;Юферовское;;63;9;;15;1;защ;145;;;3;4К6П;4;260;4;0,5;200;;Нет;;;;2013;15;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;27;10,1-40%;12;;;;;;;0,4;;2,66;2,66;512;27;;15;810;;;;;;32;;16;;25;;8;;4;0;;15;0;;15;;;15;;;15;;;15;;;15;;;;;;;;;;;;;;;;;;;;;;;;15;;0;0;1;;;11;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2013;;;Горячегорское;Юферовское;;64;2;;43;1;защ;145;;;3;7К3П;4;270;4;0,6;240;;Нет;;;;2013;43;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;;2013;5;ухудшение;;;;;;;24;10,1-40%;8,5;;;;;;;0,5;;2,69;2,68;512;24;;43;2476,8;;;;;;30;;16;;30;;3,5;;5;0;;15,5;0;;43;;;43;;;43;;;43;;;43;;;;;;;;;;;;;;;;;;;;;;;;43;;0;0;1;;;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.13736;88.6224;Горячегорское;Юферовское;;66;2;;27;1;защ;145;;;3;8П2К;4;190;4;0,5;190;;Нет;;;;2018;27;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;350;2018;5;ухудшение;;;;;;;23;10,1-40%;0;16;;614;20;;;0,4;;2,85;2,95;512;23;;27;1180;;;;;;9;;33;;35;;0;;0;0;;23;0;;27;;;27;;;27;;;27;;;27;;;;;;;;;;;;;;;;;;;;;;;;27;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.13737;88.62851;Горячегорское;Юферовское;;66;3;;38;1;защ;145;;;3;4К6П+Б;4;260;3;0,5;240;;Нет;;;;2018;38;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;531;2018;5;ухудшение;;;;;;;27;10,1-40%;2;10;;614;25;;;0,4;;2,90;2,99;512;27;;38;2462;;;;;;9;;37;;27;;0;;2;0;;25;0;;38;;;38;;;38;;;38;;;38;;;;;;;;;;;;;;;;;;;;;;;;38;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2009;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2016;;;1993;2009;;;Горячегорское;Юферовское;;66;9;1;17;1;защ;140;;;3;6П2Е2К;4;170;4;0,6;310;;Нет;;;;2009;0,4;;;;;Погодные условия (прочие);Пс;Пс;3;Неблагоприятные условия произрастания;810;;2009;5;без изменений;;;;;;;15;10,1-40%;;;;;;;;0,5;;;;512;15;;0,4;18,6;;;;;;;;;;;;;;;;;;;;0,4;;;0,4;;;0,4;;;0,4;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;0,4;;0;0;1;;;32;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.13665;88.63701;Горячегорское;Юферовское;;68;1;;28;1;защ;145;;;3;4К6П;4;260;3;0,5;240;;Нет;;;;2018;28;;;;;Повреждение насекомыми;Кс;Кс;2;Усач пихтовый чёрный большой;341;350;2018;5;ухудшение;;;;;;;23;10,1-40%;4;10;;614;25;;;0,4;;3,30;2,97;512;23;;28;1546;;;;;;5;;37;;35;;2;;2;0;;19;0;;28;;;28;;;28;;;28;;;28;;;;;;;;;;;;;;;;;;;;;;;;28;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.13742;88.64546;Горячегорское;Юферовское;;68;2;;25;1;защ;145;;;3;8П2К;4;160;4;0,5;180;;Нет;;;;2018;25;;;;;Повреждение насекомыми;Пс;Пс;2;Полиграф уссурийский;531;341;2018;5;ухудшение;;;;;;;21;10,1-40%;4;16;;614;20;;;0,4;;2,85;2,89;512;21;;25;945;;;;;;9;;35;;35;;0;;4;0;;17;0;;25;;;25;;;25;;;25;;;25;;;;;;;;;;;;;;;;;;;;;;;;25;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.13781;88.65108;Горячегорское;Юферовское;;68;3;;38;1;защ;145;;;3;4К6П+К;3;180;3;0,4;190;;Нет;;;;2018;38;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;341;2018;5;ухудшение;;;;;;;19;10,1-40%;0;10;;614;25;;;0,3;;3,05;2,69;370;19;;38;;;;;;;17;;35;;29;;0;;0;0;;19;0;;38;;;38;;;38;;;38;;;38;;;;;;;;;;;;;;;;;;;;;;;;38;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.13935;88.6537;Горячегорское;Юферовское;;68;4;;23;1;защ;145;;;3;8П2К;4;160;4;0,6;200;;Нет;;;;2018;23;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;241;2018;5;ухудшение;;;;;;;16;10,1-40%;0;16;;614;20;;;0,5;;2,75;2,66;370;16;;23;;;;;;;11;;44;;29;;0;;0;0;;16;0;;23;;;23;;;23;;;23;;;23;;;;;;;;;;;;;;;;;;;;;;;;23;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;14.08.2018;55.14087;88.65717;Горячегорское;Юферовское;;68;5;;23;1;защ;145;;;3;8П2К;4;160;4;0,3;100;;Нет;;;;2018;23;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;241;2018;5;ухудшение;;;;;;;16;10,1-40%;0;12;;614;15;;;0,3;;2,70;2,66;370;16;;23;;;;;;;11;;44;;29;;0;;0;0;;16;0;;23;;;23;;;23;;;23;;;23;;;;;;;;;;;;;;;;;;;;;;;;23;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;12.08.2018;55.14117;88.67768;Горячегорское;Юферовское;;69;2;;27;1;защ;145;;;3;8П2К;4;140;4;0,5;160;;Нет;;;;2018;27;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;241;2018;5;ухудшение;;;;;;;15;10,1-40%;0;12;;614;15;;;0,4;;2,75;2,64;370;15;;27;;;;;;;10;;46;;29;;0;;0;0;;15;0;;27;;;27;;;27;;;27;;;27;;;;;;;;;;;;;;;;;;;;;;;;27;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;12.08.2018;55.136096;88.675995;Горячегорское;Юферовское;;69;3;;40;1;защ;145;;;3;8П2К+Б;4;160;5;0,3;80;;Нет;;;;2018;40;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;241;2018;5;ухудшение;;;;;;;11;10,1-40%;1;8;;614;10;;;0,3;;2,15;2,18;370;11;;40;;;;;;;33;;38;;18;;0;;1;0;;10;0;;40;;;40;;;40;;;40;;;40;;;;;;;;;;;;;;;;;;;;;;;;40;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;12.08.2018;55.139168;88.669968;Горячегорское;Юферовское;;69;4;;32;1;защ;145;;;3;8П2К;4;160;4;0,6;200;;Нет;;;;2018;32;;;;;Повреждение насекомыми;Пс;Пс;2;Усач пихтовый чёрный большой;341;241;2018;5;ухудшение;;;;;;;11;10,1-40%;0;8;;614;10;;;0,5;;2,35;2,32;370;11;;32;;;;;;;18;;54;;17;;0;;0;0;;11;0;;32;;;32;;;32;;;32;;;32;;;;;;;;;;;;;;;;;;;;;;;;32;;0;0;2;;Линдт Е.А.;11;;
Республика Хакасия;2018;ЛПТ;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада января - 3 декада декабря;;;;05.10.2018;;;1993;12.08.2018;55.136611;88.671401;Горячегорское;Юферовское;;69;5;;50;1;защ;145;;;3;5К5П;4;220;3;0,3;140;;Нет;;;;2018;50;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;241;2018;5;ухудшение;;;;;;;10;4,1-10%;2,5;5;;614;10;;;0,3;;2,25;2,18;370;10;;50;;;;;;;27,5;;47,5;;15;;0;;2,5;0;;7,5;0;;50;;;50;;;50;;;50;;;50;;;;;;;;;;;;;;;;;;;;;;;;50;;0;0;2;;Линдт Е.А.;11;;
